,5oclock shadow.label,5oclock shadow.confidence,age.label,age.confidence,arched eyebrows.label,arched eyebrows.confidence,attractive.label,attractive.confidence,bags under eyes.label,bags under eyes.confidence,bald.label,bald.confidence,bangs.label,bangs.confidence,beard.label,beard.confidence,big lips.label,big lips.confidence,big nose.label,big nose.confidence,black hair.label,black hair.confidence,blond hair.label,blond hair.confidence,blurry.label,blurry.confidence,brown hair.label,brown hair.confidence,bushy eyebrows.label,bushy eyebrows.confidence,chubby.label,chubby.confidence,double chin.label,double chin.confidence,expression.label,expression.confidence,gender.label,gender.confidence,glasses.label,glasses.confidence,goatee.label,goatee.confidence,gray hair.label,gray hair.confidence,heavy makeup.label,heavy makeup.confidence,high cheekbones.label,high cheekbones.confidence,mouth open.label,mouth open.confidence,mustache.label,mustache.confidence,narrow eyes.label,narrow eyes.confidence,oval face.label,oval face.confidence,pale skin.label,pale skin.confidence,pitch.label,pitch.confidence,pointy nose.label,pointy nose.confidence,race.label,race.confidence,receding hairline.label,receding hairline.confidence,rosy cheeks.label,rosy cheeks.confidence,sideburns.label,sideburns.confidence,straight hair.label,straight hair.confidence,wavy hair.label,wavy hair.confidence,wearing earrings.label,wearing earrings.confidence,wearing hat.label,wearing hat.confidence,wearing lipstick.label,wearing lipstick.confidence,wearing necklace.label,wearing necklace.confidence,wearing necktie.label,wearing necktie.confidence,yaw.label,yaw.confidence,young.label,young.confidence
GONEG1.jpg,yes,0.75,33,0.6,no,0.87,no,0.5,no,0.09,no,0.6,no,1.0,yes,0.72,no,0.42,no,0.09,yes,0.71,no,1.0,no,0.41,no,0.75,yes,0.29,no,0.53,no,0.81,neutral,1.0,male,1.0,no,1.0,yes,0.35,no,1.0,no,0.98,no,0.87,no,0.77,yes,0.34,no,0.73,no,0.13,no,0.76,-8.61,1.0,no,0.23,white,1.0,no,0.38,no,0.97,yes,0.31,yes,0.34,no,0.96,no,1.0,no,0.65,no,1.0,no,1.0,no,0.08,-0.3,1.0,yes,0.31
GONEG2.jpg,no,1.0,26,0.6,yes,0.38,yes,0.09,no,0.8,no,0.81,no,0.88,no,1.0,no,0.33,no,1.0,no,0.96,yes,0.73,no,0.46,no,0.36,no,0.65,no,0.92,no,1.0,neutral,0.98,female,1.0,no,1.0,no,0.96,no,0.59,yes,0.06,no,0.93,yes,0.3,no,0.97,yes,0.16,yes,0.35,yes,0.26,-9.41,1.0,no,0.48,white,1.0,no,0.33,no,1.0,no,1.0,yes,0.59,no,0.41,no,0.27,no,1.0,yes,0.41,no,0.19,no,0.87,-16.78,1.0,yes,0.72
GONEG3.jpg,no,0.45,31,0.6,no,1.0,no,0.93,no,1.0,no,0.26,no,1.0,no,0.33,no,0.72,no,0.22,no,0.06,no,0.99,yes,0.59,no,0.42,no,0.96,yes,0.07,no,0.21,neutral,0.8,male,0.64,yes,1.0,no,0.7,no,0.38,no,0.96,no,0.85,no,0.57,no,0.44,no,0.89,yes,0.04,no,0.44,-5.65,1.0,no,0.77,white,1.0,yes,0.1,no,1.0,no,0.81,no,0.35,no,0.23,no,0.9,no,0.36,no,0.95,no,0.79,no,0.36,-56.4,1.0,no,0.26
GOT1.jpg,yes,0.78,26,0.6,no,1.0,no,0.24,no,0.06,no,1.0,no,0.6,yes,1.0,no,0.33,yes,0.18,no,0.02,no,1.0,no,0.2,yes,0.0,yes,0.57,no,0.55,no,0.86,neutral,1.0,male,1.0,no,1.0,yes,0.72,no,1.0,no,1.0,no,0.98,no,1.0,yes,0.64,no,0.51,no,0.36,no,0.5,-9.67,1.0,no,0.24,white,1.0,no,1.0,no,1.0,yes,0.75,no,0.88,yes,0.77,no,1.0,no,0.64,no,1.0,no,0.79,no,0.43,0.57,1.0,yes,0.31
GOT10.jpg,yes,0.69,49,0.6,no,1.0,no,0.99,yes,0.28,no,0.54,no,0.71,yes,0.95,no,0.66,yes,0.15,no,0.53,no,0.97,yes,0.15,yes,0.58,no,0.33,no,0.04,no,0.37,neutral,1.0,male,1.0,no,1.0,yes,0.72,no,0.43,no,1.0,no,0.76,no,0.95,yes,0.63,no,0.22,no,0.52,no,1.0,-6.44,1.0,no,0.51,white,1.0,no,0.54,no,1.0,yes,0.72,no,0.01,no,0.28,no,1.0,no,0.72,no,1.0,no,0.95,no,0.12,35.88,1.0,no,0.52
GOT11.jpg,yes,0.04,52,0.6,no,1.0,no,1.0,yes,0.28,yes,0.39,no,0.48,yes,0.93,no,0.91,yes,0.43,no,0.78,no,0.77,yes,0.52,no,0.32,no,0.97,yes,0.59,yes,0.26,neutral,0.69,male,1.0,no,1.0,yes,0.86,yes,0.45,no,0.99,no,0.73,no,0.95,yes,0.83,no,0.0,no,0.3,no,0.63,-7.93,1.0,no,0.71,white,0.98,yes,0.24,no,1.0,yes,0.9,no,0.39,no,0.58,no,1.0,no,0.61,no,1.0,no,1.0,yes,0.25,6,1.0,no,1.0
GOT12.jpg,yes,0.49,46,0.6,no,1.0,no,0.87,yes,0.12,no,0.26,no,0.98,yes,0.98,no,0.83,no,0.18,no,0.95,no,0.7,yes,0.33,yes,0.71,no,0.79,yes,0.05,no,0.3,neutral,0.93,male,0.87,no,1.0,yes,0.8,no,0.26,no,0.92,no,0.83,no,0.36,yes,0.6,yes,0.23,no,0.23,no,1.0,-8.78,1.0,no,0.59,white,1.0,no,0.05,no,0.96,yes,0.83,no,0.06,no,0.31,no,0.94,no,0.99,no,0.94,no,1.0,no,0.04,18.03,1.0,no,0.53
GOT13.jpg,yes,0.31,27,0.6,no,0.93,yes,0.04,no,0.47,no,1.0,yes,0.74,yes,0.48,no,0.58,no,0.33,yes,0.51,no,0.99,no,0.43,no,0.31,yes,0.63,no,0.97,no,1.0,neutral,0.77,male,0.84,no,1.0,yes,0.19,no,1.0,no,0.91,no,0.77,no,1.0,yes,0.16,no,0.85,yes,0.13,no,0.09,-9.25,1.0,no,0.26,white,0.97,no,1.0,no,1.0,yes,0.26,no,0.11,yes,0.06,no,1.0,no,0.67,no,0.88,no,0.88,no,0.55,3.24,1.0,yes,0.86
GOT14.jpg,no,1.0,35,0.6,no,1.0,no,0.8,yes,0.21,yes,0.01,no,0.74,no,1.0,no,0.9,no,0.26,no,1.0,yes,0.54,yes,0.02,no,0.84,no,1.0,no,0.21,no,0.25,neutral,0.92,male,0.18,no,1.0,no,1.0,yes,0.69,no,1.0,no,0.65,yes,0.39,no,1.0,no,0.44,no,0.03,yes,0.34,-7.61,1.0,no,0.71,white,1.0,yes,0.44,no,1.0,no,1.0,yes,0.04,no,0.61,no,0.61,no,0.89,no,0.99,no,0.73,no,0.06,-24.16,1.0,no,0.47
GOT15.jpg,no,0.13,52,0.6,no,1.0,no,1.0,yes,0.43,yes,0.37,no,0.27,yes,0.71,no,0.92,yes,0.47,no,1.0,no,0.46,yes,0.51,no,0.39,no,0.93,yes,0.53,yes,0.19,neutral,1.0,male,1.0,no,1.0,yes,0.63,yes,0.8,no,0.99,no,1.0,no,1.0,yes,0.65,no,0.07,no,0.52,no,0.59,-6.82,1.0,no,0.61,white,0.99,yes,0.28,no,1.0,yes,0.72,no,0.55,no,0.15,no,1.0,no,0.83,no,1.0,no,0.94,yes,0.19,-15.25,1.0,no,1.0
GOT16.jpg,no,0.26,42,0.6,no,1.0,no,0.84,no,0.06,yes,0.11,no,0.56,yes,0.04,no,0.81,no,0.04,no,1.0,no,0.51,yes,0.21,no,0.66,no,0.74,no,0.15,no,0.37,neutral,0.87,male,0.78,no,1.0,no,0.22,yes,0.19,no,0.98,no,0.89,no,0.64,no,0.16,no,0.28,no,0.22,yes,0.07,-8.24,1.0,no,0.55,white,1.0,no,0.17,no,1.0,no,0.28,no,0.75,no,0.73,no,0.88,yes,0.4,no,1.0,no,0.99,no,0.31,14.86,1.0,no,0.38
GOT17.jpg,no,0.8,34,0.6,no,0.77,yes,0.49,yes,0.25,no,1.0,no,0.56,no,1.0,no,0.61,no,0.41,yes,0.04,no,0.95,no,0.22,yes,0.36,yes,0.15,no,0.79,no,0.92,smile,0.69,female,0.07,no,1.0,no,1.0,no,1.0,no,0.82,yes,0.56,no,0.83,no,1.0,yes,0.12,yes,0.49,no,0.14,-7.36,1.0,no,0.79,white,0.81,no,0.96,no,1.0,no,1.0,yes,0.15,no,0.23,no,0.42,no,0.79,no,0.56,no,0.69,no,0.65,-38.29,1.0,yes,0.94
GOT18.jpg,yes,0.18,43,0.6,no,1.0,no,1.0,yes,0.19,yes,0.47,no,0.71,yes,0.72,no,0.84,yes,0.28,no,0.75,no,0.99,yes,0.21,no,0.61,no,0.8,yes,0.45,yes,0.16,neutral,1.0,male,1.0,no,1.0,yes,0.53,yes,0.43,no,0.96,no,0.95,no,0.99,yes,0.55,yes,0.28,no,0.58,no,0.82,-6.28,1.0,no,0.34,white,1.0,yes,0.31,no,0.96,yes,0.51,no,0.26,no,0.81,no,1.0,no,0.45,no,1.0,no,1.0,yes,0.41,32.66,1.0,no,0.94
GOT19.jpg,no,0.73,50,0.6,no,0.7,no,0.49,no,0.92,no,1.0,no,0.76,no,0.72,no,0.3,no,1.0,no,1.0,yes,0.31,yes,0.48,yes,0.05,no,0.9,no,1.0,no,1.0,neutral,0.88,female,0.76,no,1.0,no,0.8,no,0.83,no,0.73,no,0.63,no,0.71,no,0.97,no,0.25,no,0.25,no,0.53,-4.98,1.0,yes,0.03,white,1.0,no,0.44,no,0.94,no,0.9,no,0.34,no,0.18,no,0.13,no,0.52,no,0.46,no,0.23,no,1.0,66.27,1.0,yes,0.63
GOT2.jpg,no,0.31,39,0.6,no,0.98,no,0.79,yes,0.47,no,0.82,yes,0.66,no,0.35,no,0.6,yes,0.17,no,1.0,yes,0.05,no,0.24,yes,0.34,no,0.3,no,0.25,no,0.36,neutral,0.99,male,0.85,no,1.0,no,0.63,yes,0.15,no,0.99,no,0.78,no,0.85,no,0.48,yes,0.17,no,0.3,no,0.13,-9.58,1.0,no,0.46,white,1.0,no,0.79,no,0.98,no,0.5,no,0.67,yes,0.7,no,0.83,no,0.95,no,0.96,no,0.79,no,0.11,0.46,1.0,no,0.55
GOT20.jpg,yes,0.92,29,0.6,no,0.67,no,0.14,no,0.05,no,0.95,no,0.3,yes,1.0,no,0.09,yes,0.28,yes,0.57,no,1.0,no,0.91,no,0.56,yes,1.0,no,0.59,no,0.94,neutral,0.99,male,1.0,no,1.0,yes,0.83,no,1.0,no,1.0,no,0.9,no,0.76,yes,0.8,no,1.0,no,0.05,no,0.66,-9.75,1.0,no,0.26,white,1.0,no,1.0,no,0.93,yes,0.83,no,0.22,no,0.18,no,0.83,no,0.13,no,1.0,no,0.74,no,0.27,7.07,1.0,yes,0.77
GOT21.jpg,yes,0.26,56,0.6,no,0.97,no,1.0,yes,0.68,yes,0.77,no,1.0,yes,0.97,no,0.69,yes,0.7,no,0.71,no,1.0,no,0.26,no,0.31,no,0.44,yes,0.83,yes,0.5,neutral,1.0,male,1.0,no,1.0,yes,0.91,yes,0.63,no,0.96,no,0.78,no,1.0,yes,0.93,no,0.21,no,0.17,no,1.0,-8.53,1.0,no,0.5,white,0.98,yes,0.79,no,0.89,yes,0.86,no,0.24,no,0.79,no,1.0,no,0.9,no,1.0,no,1.0,yes,0.74,-21.54,1.0,no,1.0
GOT22.jpg,yes,0.38,55,0.6,no,1.0,no,0.93,yes,0.36,yes,0.61,no,0.92,yes,0.93,no,0.87,yes,0.42,no,1.0,no,0.36,no,0.28,no,0.44,no,0.81,yes,0.36,yes,0.05,neutral,1.0,male,1.0,no,1.0,yes,0.83,yes,0.69,no,0.97,no,1.0,no,0.95,yes,0.75,no,0.73,no,0.09,no,0.65,-8.57,1.0,no,0.42,white,1.0,yes,0.63,no,0.89,yes,0.82,no,0.02,no,0.97,no,1.0,no,0.9,no,1.0,no,1.0,yes,0.44,-1.7,1.0,no,0.91
GOT23.jpg,no,0.04,19,0.6,no,1.0,no,0.46,no,0.15,no,0.86,yes,0.68,no,0.15,no,0.59,no,0.37,no,1.0,yes,0.0,no,0.21,yes,0.19,no,0.48,no,0.91,no,1.0,neutral,0.96,male,0.8,no,1.0,no,0.43,no,0.57,no,1.0,no,0.89,no,1.0,no,0.45,no,0.53,no,0.01,yes,0.07,-9.52,1.0,no,0.73,white,1.0,no,1.0,no,1.0,no,0.39,yes,0.05,no,0.47,no,1.0,no,0.21,no,1.0,no,0.83,no,0.72,6.64,1.0,yes,0.57
GOT24.jpg,no,1.0,51,0.6,no,0.35,yes,0.08,no,0.39,no,0.78,no,0.75,no,1.0,no,0.6,no,0.98,no,0.19,no,0.67,no,0.51,yes,0.08,no,0.14,no,0.75,no,0.96,neutral,0.92,female,0.86,no,1.0,no,1.0,no,0.68,no,0.19,no,0.48,no,0.58,no,1.0,no,0.22,yes,0.46,yes,0.52,-8.13,1.0,no,0.5,white,1.0,no,0.39,no,1.0,no,1.0,yes,0.29,no,0.5,no,0.13,no,0.89,yes,0.15,no,0.7,no,0.63,26.96,1.0,yes,0.52
